编号,船舶类型,船籍港,船级,航区,长度,型宽,型深,总吨,载重吨,主机型号,主机功率,建成日期,建造船厂,成交日期,交易价格
TRAIN1,一般干货船,,,,,,,,3049,,440,1/22/2013,,7/3/2013,420.41
TRAIN2,自卸砂船,,,,,,,,2078,,678,11/6/2005,,7/3/2013,148
TRAIN3,自卸砂船,,,,,,,,2195,,678,2/18/2004,,7/3/2013,138
TRAIN4,散货船,,,,,,,,812,,280,8/9/2003,,7/4/2013,75
TRAIN5,工程船,,,,,,,,,,,1/1/1971,,7/4/2013,17
TRAIN6,工程船,,,,,,,,,,,1/1/1949,,7/4/2013,35
TRAIN7,自卸砂船,,,,,,,,838,,678,7/5/2002,,7/8/2013,100
TRAIN8,自卸砂船,,,,,,,,5278,,1342,1/18/2010,,7/11/2013,303.03
TRAIN9,一般干货船,,,,,,,,950,,218,7/2/2007,,7/11/2013,125
TRAIN10,自卸砂船,,,,,,,,931,,360,2/6/2002,,7/11/2013,100
TRAIN11,集装箱船,,,,,,,,984,,406,7/19/2001,,7/16/2013,204.08
TRAIN12,一般干货船,,,,,,,,201,,160,1/25/1995,,7/16/2013,18.37
TRAIN13,一般干货船,,,,,,,,210,,88,11/11/2001,,7/17/2013,20
TRAIN14,干货船,,,,,,,,230,,88,4/10/1997,,7/17/2013,30
TRAIN15,一般干货船,,,,,,,,110,,79,10/1/1993,,7/17/2013,20
TRAIN16,油船,,,,,,,,700,,248,4/28/2004,,7/25/2013,130
TRAIN17,自卸砂船,,,,,,,,1904,,406,7/30/2002,,7/25/2013,100
TRAIN18,自卸砂船,,,,,,,,1390,,576,9/10/2004,,7/29/2013,217.78
TRAIN19,化学品液货船,,,,,,,,210,,94,6/27/1993,,7/29/2013,33
TRAIN20,杂货船,,,,,,,,17139,,5618,1/1/1987,,7/29/2013,1434
TRAIN21,散货船,,,,,,,,6316,,1200,3/25/2011,,7/31/2013,318
TRAIN22,油船,,,,,,,,1000,,328,2/26/2006,,7/31/2013,139
TRAIN23,散货船,,,,,,,,2064,,1598,1/18/2006,,8/5/2013,120
TRAIN24,散货船,,,,,,,,1998,,1445,4/8/2003,,8/5/2013,133.33
TRAIN25,散货船,,,,,,,,1998,,1445,3/5/2003,,8/5/2013,133.33
TRAIN26,散货船,,,,,,,,13621,,2930,8/13/2010,,8/6/2013,4180
TRAIN27,集装箱船,,,,,,,,865,,180,1/6/2003,,8/7/2013,62
TRAIN28,集装箱船,,,,,,,,679,,432,10/5/1998,,8/7/2013,50
TRAIN29,油船,,,,,,,,2723,,764,5/29/2013,,8/12/2013,855
TRAIN30,集装箱船,,,,,,,,1420,,576,5/19/2003,,8/12/2013,146
TRAIN31,集装箱船,,,,,,,,1247,,660,11/22/2010,,8/13/2013,120
TRAIN32,自卸砂船,,,,,,,,2447,,739,11/6/2003,,8/14/2013,230
TRAIN33,集装箱船,,,,,,,,2250,,660,5/6/2009,,8/16/2013,460
TRAIN34,集装箱船,,,,,,,,2250,,660,5/6/2009,,8/16/2013,460
TRAIN35,集装箱船,,,,,,,,2400,,800,4/24/2009,,8/16/2013,302.04
TRAIN36,集装箱船,,,,,,,,1872,,706,11/5/2006,,8/16/2013,206
TRAIN37,集装箱船,,,,,,,,1800,,1104,3/1/2000,,8/16/2013,152
TRAIN38,杂货船,,,,,,,,17139,,5826,4/5/1989,,8/19/2013,1509
TRAIN39,集装箱船,,,,,,,,1176,,420,6/3/2003,,8/21/2013,204.08
TRAIN40,集装箱船,,,,,,,,600,,434,3/10/1993,,8/21/2013,48.98
TRAIN41,干货船,,,,,,,,744,,280,2/8/1995,,8/26/2013,60
TRAIN42,杂货船,,,,,,,,14913,,6227,12/28/1985,,8/27/2013,1349
TRAIN43,干货船,,,,,,,,954,,218,4/21/2005,,8/28/2013,100
