日期,造船板价格,城市
2008/1/1,5500,上海
2008/1/2,5500,上海
2008/1/3,5500,上海
2008/1/4,5550,上海
2008/1/5,5550,上海
2008/1/6,5550,上海
2008/1/7,5600,上海
2008/1/8,5600,上海
2008/1/9,5630,上海
2008/1/10,5630,上海
2008/1/11,5630,上海
2008/1/12,5630,上海
2008/1/13,5630,上海
2008/1/14,5630,上海
2008/1/15,5630,上海
2008/1/16,5630,上海
2008/1/17,5630,上海
2008/1/18,5630,上海
2008/1/19,5630,上海
2008/1/20,5630,上海
2008/1/21,5630,上海
2008/1/22,5650,上海
2008/1/23,5650,上海
2008/1/24,5650,上海
2008/1/25,5650,上海
2008/1/26,5650,上海
2008/1/27,5650,上海
2008/1/28,5650,上海
2008/1/29,5650,上海
2008/1/30,5650,上海
2008/1/31,5650,上海
2008/2/1,5650,上海
2008/2/2,5650,上海
2008/2/3,5650,上海
2008/2/4,5650,上海
2008/2/5,5650,上海
2008/2/6,5650,上海
2008/2/7,5650,上海
2008/2/8,5650,上海
2008/2/9,5650,上海
2008/2/10,5650,上海
2008/2/11,5650,上海
2008/2/12,5650,上海
2008/2/13,5650,上海
2008/2/14,5650,上海
2008/2/15,5700,上海
2008/2/16,5700,上海
2008/2/17,5700,上海
2008/2/18,5700,上海
2008/2/19,5800,上海
2008/2/20,5800,上海
2008/2/21,5900,上海
2008/2/22,5900,上海
2008/2/23,5900,上海
2008/2/24,5900,上海
2008/2/25,6100,上海
2008/2/26,6200,上海
2008/2/27,6200,上海
2008/2/28,6200,上海
2008/2/29,6250,上海
2008/3/1,6250,上海
2008/3/2,6250,上海
2008/3/3,6500,上海
2008/3/4,6500,上海
2008/3/5,6500,上海
2008/3/6,6500,上海
2008/3/7,6500,上海
2008/3/8,6500,上海
2008/3/9,6500,上海
2008/3/10,6500,上海
2008/3/11,6500,上海
2008/3/12,6500,上海
2008/3/13,6500,上海
2008/3/14,6500,上海
2008/3/15,6500,上海
2008/3/16,6500,上海
2008/3/17,6500,上海
2008/3/18,6500,上海
2008/3/19,6500,上海
2008/3/20,6500,上海
2008/3/21,6500,上海
2008/3/22,6500,上海
2008/3/23,6500,上海
2008/3/24,6500,上海
2008/3/25,6500,上海
2008/3/26,6500,上海
2008/3/27,6500,上海
2008/3/28,6600,上海
2008/3/29,6600,上海
2008/3/30,6600,上海
2008/3/31,6600,上海
2008/4/1,6600,上海
2008/4/2,6600,上海
2008/4/3,6600,上海
2008/4/4,6600,上海
2008/4/5,6600,上海
2008/4/6,6600,上海
2008/4/7,6600,上海
2008/4/8,6800,上海
2008/4/9,6800,上海
2008/4/10,6800,上海
2008/4/11,6800,上海
2008/4/12,6800,上海
2008/4/13,6800,上海
2008/4/14,6800,上海
2008/4/15,6800,上海
2008/4/16,6800,上海
2008/4/17,6800,上海
2008/4/18,6800,上海
2008/4/19,6800,上海
2008/4/20,6800,上海
2008/4/21,6800,上海
2008/4/22,6800,上海
2008/4/23,6800,上海
2008/4/24,6800,上海
2008/4/25,6800,上海
2008/4/26,6800,上海
2008/4/27,6800,上海
2008/4/28,6800,上海
2008/4/29,6800,上海
2008/4/30,7000,上海
2008/5/1,7000,上海
2008/5/2,7000,上海
2008/5/3,7000,上海
2008/5/4,7000,上海
2008/5/5,7000,上海
2008/5/6,7000,上海
2008/5/7,7000,上海
2008/5/8,7000,上海
2008/5/9,7000,上海
2008/5/10,7000,上海
2008/5/11,7000,上海
2008/5/12,7000,上海
2008/5/13,7000,上海
2008/5/14,7100,上海
2008/5/15,7100,上海
2008/5/16,7100,上海
2008/5/17,7100,上海
2008/5/18,7100,上海
2008/5/19,7100,上海
2008/5/20,7100,上海
2008/5/21,7100,上海
2008/5/22,7100,上海
2008/5/23,7100,上海
